,Product,ihs_match
24,1-PHENYLETHYLAMINE®,1-PHENYLETHYLAMINE® BY SEPARATION OF CHIRAL AMINES USING ENZYMATIC TRANSFORMATION
26,"2,4-DIMETHYL BENZALDEHYDE","2,4-DIMETHYL BENZALDEHYDE FROM M-XYLENE"
28,"2,6-DI-TERT-BUTYLPHENOL","2,6-DI-TERT-BUTYLPHENOL FROM PHENOL AND ISOBUTYLENE"
29,"2,6-DIETHYLANILINE","2,6-DIETHYLANILINE FROM ANILINE"
30,"2,6-DIMETHYLPHENOL","2,6-DIMETHYLPHENOL (2,6-XYLENOL) FROM PHENOL AND METHANOL BY FIXED BED PROCESS"
31,"2,6-DIMETHYLPHENOL","2,6-DIMETHYLPHENOL (2,6-XYLENOL) FROM PHENOL AND METHANOL BY FLUID BED PROCESS"
33,2-ETHYLHEXANOL,2-ETHYLHEXANOL BY HYDROFORMYLATION FOLLOWED BY ALDOL CONDENSATION AND HYDROGENATION
34,2-ETHYLHEXANOL,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION
35,2-ETHYLHEXANOL,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT HYDROCARBONYL CATALYST"
36,2-ETHYLHEXANOL,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT PHOSPHINE CATALYST"
37,2-ETHYLHEXANOL,"2-ETHYLHEXANOL FROM PROPYLENE, RHODIUM CATALYST"
38,2-ETHYLHEXANOL,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE
39,2-ETHYLHEXYL ACRYLATE,2-ETHYLHEXYL ACRYLATE FROM ACRYLIC ACID BY ESTERIFICATION
40,2-ETHYLHEXYL DIPHENYL PHOSPHATE,2-ETHYLHEXYL DIPHENYL PHOSPHATE FLAME RETARDANT ADDITIVE FOR PLASTICS PROCESS
41,2-H-4-O-BENZOPHENONE,2-HYDROXY-4-OCTYLOXY-BENZOPHENONE UV ABSORBER PROCESS
42,2-HYDROXY-4-METHYLTHIOBUTANOIC ACID,2-HYDROXY-4-METHYLTHIOBUTANOIC ACID PRODUCTION PROCESS
43,2-MERCAPTOBENZOTHIAZOLE,"2-MERCAPTOBENZOTHIAZOLE FROM ANILINE, CARBON DISULFIDE, AND SULFUR"
45,2-PICOLINE,2-PICOLINE FROM ACRYLONITRILE AND ACETONE
46,2-PROPYLHEPTANOL,PRODUCTION OF 2-PROPYLHEPTANOL FROM N-VALERALDEHYDE
47,2246-ANTIOXIDANT,"2,2-METHYLENEBIS(4-METHYL-6 T-BUTYL PHENOL) ANTIOXIDANT FROM P-CRESOL"
48,3-HYDROXYPROPIONIC ACID,3-HYDROXYPROPIONIC ACID FROM GLUCOSE
49,"4,4'-DICHLORODIPHENYL SULFONE","4,4'-DICHLORODIPHENYL SULFONE FROM CHLOROBENZENE, SO3, AND THIONYL CHLORIDE"
50,"4,4'-DIHYDROXYDIPHENYL","4,4'-DIHYDROXYDIPHENYL FROM PHENOL"
51,"4,4'-METHYLENEDIANILINE","4,4-METHYLENEDIANILINE (MDA) FROM ANILINE AND FORMALDEHYDE"
53,4-CHLORO-4-HYDROXY-BENZOPHENONE,4-CHLORO-4-HYDROXY-BENZOPHENONE FROM 4-CHLOROBENZOIC ACID AND PHENOL
54,4-METHYLPENTENE-1,4-METHYLPENTENE-1 FROM PROPYLENE BY DIMERIZATION
55,4-MP-1/1-DECENE COPOLYMER,4-METHYLPENTENE-1/1-DECENE BLOCK COPOLYMER PROCESS
56,6-HYDROXY-2-NAPHTHOIC ACID,6-HYDROXY-2-NAPHTHOIC ACID FROM BETA-NAPHTHOL
57,ABS RESIN,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION
58,ABS RESIN,ABS RESIN BY EMULSION POLYMERIZATION
59,ABS RESIN,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED"
60,ABS RESIN,ABS RESIN BY EMULSION POLYMERIZATION (JSR)
61,ABS RESIN,ABS RESIN BY EMULSION/MASS POLYMERIZATION
62,ABS RESIN,ABS RESIN PRODUCTION
63,ACESULFAME-K,ACESULFAME-K NON-NUTRITIVE SWEETENER
64,ACETAL HOMOPOLYMER,ACETAL HOMOPOLYMER FROM TRIOXANE
65,ACETAL HOMOPOLYMER,ACETAL HOMOPOLYMER FROM FORMALDEHYDE
66,ACETALDEHYDE,ACETALDEHYDE FROM ETHYLENE BY ONE-STEP OXIDATION
67,ACETAMINOPHEN,ACETAMINOPHEN PROCESS
68,ACETIC ACID,ACETIC ACID FROM ETHANE BY THE SABIC PROCESS
69,ACETIC ACID,"ACETIC ACID FROM MEOH BY LOW PRESSURE CARBONYLATION, SUPPORTED Rh CATALYST"
70,ACETIC ACID,ACETIC ACID BY THE CHIYODA/UOP ACETICA(TM) PROCESS
71,ACETIC ACID,ACETIC ACID FROM ETHANOL VIA ACETALDEHYDE
72,ACETIC ACID,ACETIC ACID BY LOW PRESSURE CARBONYLATION OF METHANOL
73,ACETIC ACID,ACETIC ACID FROM ETHYLENE VIA ACETALDEHYDE
74,ACETIC ACID,ACETIC ACID BY CHIYODA CT-ACETICA™ PROCESS UPDATE
75,ACETIC ACID,ACETIC ACID FROM COAL VIA BP SAABRE PROCESS
76,ACETIC ACID,ACETIC ACID BY THE CHIYODA ACETICA PROCESS
77,ACETIC ACID,ACETIC ACID FROM ETHYLENE BY THE SHOWA DENKO PROCESS
78,ACETIC ACID,ACETIC ACID VIA THE CELANESE AO PLUS PROCESS
79,ACETIC ACID,ACETIC ACID VIA THE BP SAABRE PROCESS
80,ACETIC ACID,ACETIC ACID VIA THE BP CATIVA PROCESS
81,ACETIC ACID,ACETIC ACID VIA SHOWA DENKO ONE-STEP ETHYLENE OXIDATION PROCESS
82,ACETIC ACID,ACETIC ACID VIA SABIC ETHANE OXIDATION PROCESS
83,ACETIC ACID,ACETIC ACID FROM NATURAL GAS VIA THE BP SAABRE PROCESS
84,ACETIC ACID,ACETIC ACID FROM MEOH BY THE CELANESE PROCESS
85,ACETIC ACID,ACETIC ACID FROM MEOH BY THE BP CATIVA PROCESS
86,ACETIC ANHYDRIDE,"ACETIC ANHYDRIDE FROM MEOH, ACETIC ACID, AND COPRODUCTION BY THE BP CHEMICALS PROCESS"
87,ACETIC ANHYDRIDE,ACETIC ANHYDRIDE FROM ACETONE VIA KETENE
88,ACETIC ANHYDRIDE,ACETIC ANHYDRIDE FROM ACETALDEHYDE BY DIRECT OXIDATION
89,ACETIC ANHYDRIDE,ACETIC ANHYDRIDE FROM ACETIC ACID VIA KETENE
90,ACETIC ANHYDRIDE AND ACETIC ACID,ACETIC ANHYDRIDE AND ACETIC ACID BY-PRODUCT FROM MEOH BY THE EASTMAN PROCESS
91,ACETONE,ACETONE FROM ISOPROPANOL BY VAPOR PHASE DEHYDROGENATION
93,ACETONITRILE,ACETONITRILE RECOVERY IN ACRYLONITRILE MANUFACTURE
95,ACETYLENE,ACETYLENE FROM NATURAL GAS BY ARC PROCESS
96,ACETYLENE,ACETYLENE FROM CALCIUM CARBIDE
97,ACETYLENE,ACETYLENE FROM NATURAL GAS BY PARTIAL OXIDATION
98,ACROLEIN,ACROLEIN PRODUCTION FROM PROPANE UPDATE
99,ACROLEIN,ACROLEIN BY PROPYLENE OXIDATION
100,ACRYLAMIDE,ACRYLAMIDE FROM ACRYLONITRILE BY ENZYMATIC HYDRATION
101,ACRYLAMIDE,ACRYLAMIDE FROM ACRYLONITRILE BY CATALYTIC HYDRATION
102,"ACRYLIC ACID COPOLYMER, SAP","ACRYLIC ACID-STARCH GRAFT COPOLYMER, SUPERABSORBENT PROCESS"
103,"ACRYLIC ACID COPOLYMER, SAP",CONTINUOUS SAP PRODUCTION VIA DOUBLE KNEADER REACTOR
105,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, BY THE ADVANCED NIPPON SHOKUBAI PROCESS"
106,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, FROM GLYCERIN USING NIPPON SHOKUBAI TECHNOLOGY"
107,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, BY PROPANE OXIDATION"
108,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, BY NIPPON SHOKUBAI PROCESS"
109,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, BY BASF PROCESS"
110,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE FROM PROPYLENE BY TWO-STAGE OXIDATION"
111,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE BY BASF PROCESS TECHNOLOGY"
112,"ACRYLIC ACID, ESTER GRADE",ACRYLIC ACID FROM PROPYLENE OXIDATION USING NIPPON SHOKUBAI TECHNOLOGY
113,"ACRYLIC ACID, ESTER GRADE",ACRYLIC ACID FROM GLUCOSE VIA 3-HYDROXYPROPIONIC ACID
114,"ACRYLIC ACID, ESTER GRADE",ACRYLIC ACID BY THE LURGI/NIPPON KAYAKU PROCESS
115,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, BY THE MITSUBISHI PROCESS"
116,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, FROM SUGAR VIA 3-HPA USING OPX TECHNOLOGY"
117,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE PRODUCTION BY PROPANE OXIDATION"
118,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE BY THE ADVANCED NIPPON SHOKUBAI PROCESS"
119,"ACRYLIC ACID, ESTER GRADE","ACRYLIC ACID, ESTER GRADE, USING CONVENTIONAL NIPPON SHOKUBAI TECHNOLOGY"
120,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, BY THE MITSUBISHI PROCESS"
121,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY THE LURGI/NIPPON KAYAKU PROCESS"
122,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY THE MITSUBISHI PROCESS"
123,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY THE UPDATED NIPPON SHOKUBAI PROCESS"
124,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL FROM ACETYLENE BY CATALYTIC PROCESS"
125,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL FROM PROPYLENE OXIDATION USING NIPPON SHOKUBAI TECHNOLOGY"
126,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, BY PROPANE OXIDATION"
127,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, BY THE ADVANCED NIPPON SHOKUBAI PROCESS"
128,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY BASF PROCESS"
129,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY THE ADVANCED BASF PROCESS"
130,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, FROM GLYCERIN USING NIPPON SHOKUBAI TECHNOLOGY"
131,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, USING CONVENTIONAL NIPPON SHOKUBAI TECHNOLOGY"
132,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL, FROM SUGAR VIA 3-HPA USING OPX TECHNOLOGY"
133,"ACRYLIC ACID, GLACIAL","ACRYLIC ACID, GLACIAL BY NIPPON SHOKUBAI PROCESS"
134,ACRYLIC ACID-MALEIC ACID,ACRYLIC ACID-MALEIC ACID COPOLYMERS BY BATCH COPOLYMERIZATION IN AQUEOUS SOL
135,ACRYLONITRILE,ACRYLONITRILE FROM PROPANE BY AMMOXIDATION
136,ACRYLONITRILE,ACRYLONITRILE FROM PROPYLENE BY AMMOXIDATION
137,ACRYLONITRILE,"ACRYLONITRILE, PROPANE-BASED (ASAHI PROCESS)"
138,ACRYLONITRILE,"ACRYLONITRILE, PROPANE-BASED (MITSUBISHI PROCESS)"
139,ACRYLONITRILE,"ACRYLONITRILE, PROPANE-BASED PROCESS USING ANTIMONY-BASED CATALYSTS(SOHIO CATALYST)"
140,ACRYLONITRILE,"ACRYLONITRILE, PROPYLENE-BASED (SOHIO PROCESS)"
143,ACTIVATOR-SUPPORT CATALYST,FLUORIDED SILICA-ALUMINA ACTIVATOR-SUPPORT CATALYST PRODUCTION
145,"ADHESIVE, HOT MELT, EVA","ADHESIVE, HOT MELT, EVA COPOLYMER, BY A CONTINUOUS EXTRUSION PROCESS"
146,"ADHESIVE, REACTIVE ACRYLIC","ADHESIVE, REACTIVE ACRYLIC, BY A BATCH PROCESS"
147,"ADHESIVES, HOT MELT, 2 EVA","ADHESIVES, HOT MELT, COMBINED PRODUCTION OF TWO EVA COPOLYMERS BY A BATCH PROCESS"
148,ADIPIC ACID,ADIPIC ACID FROM BENZENE VIA CYCLOHEXANOL
149,ADIPIC ACID,"ADIPIC ACID FROM BENZENE VIA CYCLOHEXANOL BY PARTIAL HYDROGENATION, HYDRATION AND OXIDATION"
150,ADIPIC ACID,ADIPIC ACID FROM BUTADIENE BY CARBOALKOXYLATION
151,ADIPIC ACID,ADIPIC ACID FROM CYCLOHEXANE
152,ADIPIC ACID,ADIPIC ACID FROM CYCLOHEXANE BY OXIDATION PROCESS
153,ADIPIC ACID,ADIPIC ACID FROM CYCLOHEXANE VIA OXYGEN-BASED LIQUID OXIDATION
154,ADIPIC ACID,ADIPIC ACID FROM FREE FATTY ACIDS VIA VERDEZYNE FERMENTATION
155,ADIPIC ACID,ADIPIC ACID FROM PHENOL VIA CYCLOHEXANOL
156,ADIPIC ACID,ADIPIC ACID VIA TWO-STAGE OXIDATION OF CYCLOHEXANE
157,ADIPIC ACID,ADIPIC ACID VIA VERDEZYNE FERMENTATION
158,ADIPIC ACID,ADIPIC ACID PRODUCTION FROM BUTADIENE BY CARBOALKOXYLATION
159,ADIPIC ACID,ADIPIC ACID VIA RENNOVIA PROCESS
161,ALACHLOR,ALACHLOR PESTICIDE FROM DIETHYLANILINE
162,ALCOHOL ETHER SULFATES,PRODUCTION OF ALCOHOL ETHER SULFATES BY SO3-AIR SULFATION
163,ALCOHOL ETHOXYSULFATE,"ALCOHOL ETHOXYSULFATE, PRIMARY, BY SULFUR TRIOXIDE/AIR SULFONATION"
164,"ALCOHOLS, HIGHER PRIMARY, C12-C15","ALCOHOLS, HIGHER PRIMARY, C12-C15 BY THE OXO PROCESS"
165,"ALCOHOLS, PRIMARY LINEAR, C12 & C14","ALCOHOLS, PRIMARY LINEAR, C12&C14 FROM NATURAL OILS VIA FATTY ACID METHYL ESTERS"
166,"ALCOHOLS, PRIMARY LINEAR, C12 & C14","ALCOHOLS, PRIMARY LINEAR, C12&C14 FROM NATURAL OILS VIA FATTY ACIDS"
167,"ALCOHOLS, PRIMARY LINEAR, C12-C15","ALCOHOLS, PRIMARY LINEAR, C12-C15 FROM LINEAR OLEFINS, COBALT PHOSPHINE CATALYST"
168,"ALCOHOLS, PRIMARY LINEAR, C6-C20","ALCOHOLS, PRIMARY LINEAR, C6-C20 BY ETHYLENE POLYMERIZATION"
169,"ALCOHOLS, PRIMARY LINEAR, C6-C20","ALCOHOLS, PRIMARY LINEAR, C6-C20, BY ETHYLENE OLIGOMERIZATION"
170,"ALCOHOLS, PRIMARY LINEAR, C6-C20","ALCOHOLS, PRIMARY LINEAR, C6-C21 BY MODIFIED ETHYLENE POLYMERIZATION"
171,"ALCOHOLS, SECONDARY, C11-C15","ALCOHOLS, SECONDARY, C11-C15 BY PARAFFIN OXIDATION"
172,"ALKYL PHOSPHATE ESTERS, Br-Cl","BROMINATED, CHLORINATED ALKYL PHOSPHATE ESTERS FLAME RETARDANT ADDITIVE MIXTURE PROCESS"
173,ALKYL POLYGLYCOSIDES,ALKYL POLYGLYCOSIDES BY DIRECT GLYCOSIDATION
175,ALLYL ALCOHOL,ALLYL ALCOHOL FROM PROPYLENE OXIDE
176,ALLYL ALCOHOL,ALLYL ALCOHOL FROM PROPYLENE
177,ALLYL CHLORIDE,ALLYL CHLORIDE FROM PROPYLENE BY CHLORINATION
178,ALPHA AMYLASE,ALPHA AMYLASE PRODUCTION USING BACILLUS SPECIES
183,"ALUMINA, HIGH PURITY","ALUMINA, HIGH PURITY, BY THE ALUMINUM CHLORIDE HEXAHYDRATE PROCESS"
185,AMMONIA,AMMONIA VIA KBR PURIFIER PROCESS
186,AMMONIA,AMMONIA FROM NATURAL GAS VIA UHDE DUAL PROCESS
187,AMMONIA,UHDE DUAL PRESSURE PROCESS
188,AMMONIA,MEGA AMMONIA PROCESS FROM NATURAL GAS
189,AMMONIA,KBR PURIFIER PLUS AMMONIA PROCESS
190,AMMONIA,"AMMONIA, GREEN PRODUCTION"
191,AMMONIA,AMMONIA PRODUCTION FROM NATURAL GAS BY UHDE DUAL-PRESSURE PROCESS
192,AMMONIA,AMMONIA FROM SUBBITUMINOUS COAL BY SHELL GASIFIER
193,AMMONIA,AMMONIA FROM SUBBITUMINOUS COAL BY GE QUENCH GASIFIER
194,AMMONIA,AMMONIA FROM NATURAL GAS VIA HALDOR TOPSOE ADVANCE PROCESS
195,AMMONIA,AMMONIA FROM NATURAL GAS VIA KBR PURIFIER PROCESS
196,AMMONIA,AMMONIA FROM NATURAL GAS BY STEAM REFORMING BY M.W. KELLOGG
197,AMMONIA,"AMMONIA FROM NATURAL GAS BY STEAM REFORMING BY ICI ""LCA"" PROCESS"
198,AMMONIA,"AMMONIA FROM NATURAL GAS BY STEAM REFORMING BY ICI ""AMV"" PROCESS"
199,AMMONIA,AMMONIA FROM NATURAL GAS BY STEAM REFORMING (M. W. KELLOGGS IMPROVED PROCESS: KAAP-KRES)
200,AMMONIA,AMMONIA FROM EBARA UBE WASTE PLASTIC GASIFICATION
201,AMMONIA,AMMONIA FROM BITUMINOUS COAL BY SHELL GASIFIER
202,AMMONIA,AMMONIA FROM BITUMINOUS COAL BY GE QUENCH GASIFIER
203,AMMONIA,AMMONIA BY HALDOR-TOPSOE CONVENTIONAL PROCESS
204,AMMONIA,AMMONIA FROM NATURAL GAS VIA CASALE PROCESS
210,AMMONIUM NITRATE FERTILIZER,AMMONIUM NITRATE FERTILIZER (34-0-0) HIGH DENSITY PRILLS
214,AMORPHOUS FLUOROPOLYMER,AMORPHOUS FLUOROPOLYMER BY A CONVENTIONAL AQUEOUS EMULSION POLYMERIZATION PROCESS
215,AMYL ALCOHOL,PRODUCTION OF AMYL ALCOHOL FROM N-VALERALDEHYDE
216,ANILINE,ANILINE FROM NITROBENZENE BY VAPOR-PHASE REDUCTION
217,ANILINE,ANILINE FROM PHENOL BY AMMONOLYSIS
220,ANTHRAQUINONE,ANTHRAQUINONE FROM NAPHTHALENE
223,ARAMID SPUN YARN,"ARAMID SPUN YARN, POLY(P-PHENYLENE TEREPHTHALAMIDE)"
224,ARAMID STAPLE,"ARAMID STAPLE, POLY(M-PHENYLENE ISOPHTHALAMIDE)"
226,AROMATIC REFORMATE,AROMATIC REFORMATE BY CONTINUOUS CATALYST REGENERATION PROCESS OF BTX RAFFINATE
227,ASCORBIC ACID,ASCORBIC ACID FROM DEXTROSE MONOHYDRATE VIA L-SORBOSE
228,ASCORBIC ACID,ASCORBIC ACID BY GENENCOR PROCESS
229,ASPARTAME,ASPARTAME LOW CALORIE SWEETENER
230,AZELAIC ACID,AZELAIC ACID FROM OLEIC ACID
232,BACILLUS THURINGIENSIS,BACILLUS THURINGIENSIS BY SUBMERGED AEROBIC FERMENTATION
236,"BASE OIL, GROUP 1","BASE OIL, GROUP 1, PRODUCTION PROCESS"
237,"BASE OIL, GROUP 2","BASE OIL, GROUP 2, PRODUCTION PROCESS"
238,"BASE OIL, GROUP 3","BASE OIL, GROUP 3, PRODUCTION PROCESS"
239,BENOMYL,"BENOMYL PESTICIDE FROM CYANAMIDE, METHYL CHLOROFORMATE, O-PDA, AND N-BIC"
240,BENZENE,BENZENE [MIXED XYLENES BY-PRODUCT] FROM PYROL GASOL HEART CUT BY SULFOLANE EXTR. AND DIST.
241,BENZENE,"BENZENE, FROM LIGHT OIL REFINING"
242,BENZENE,CB&I TOLUENE HYDRODELAKYLATION PROCESS FOR BENZENE PRODUCTION
243,BENZENE,BENZENE FROM TOLUENE BY DEALKYLATION
244,BENZENE,BENZENE [MIXED XYLENES BY-PRODUCT] FROM REFOR HEART CUT BY SULFOLANE EXTRACT. AND DISTIL
245,BENZENE AND TOLUENE,BENZENE AND TOLUENE (1:4.77 RATIO) FROM REFORMATE BY GT-BTX(SM) EXTRACTIVE DISTILLATION
246,BENZENE AND TOLUENE,BENZENE AND TOLUENE (1:4.63) FROM REFORMATE BY CAROM(TM) EXTRACTION
247,BENZENE REFORMATE,SATURATION OF BENZENE IN REFORMATE BY CATALYTIC DISTILLATION
248,BENZENE REFORMATE,EXTRACTIVE DISTILLATION REMOVAL OF ONLY BENZENE FROM C5-C7 REFORMATE
249,BENZENE REFORMATE,EXTRACTIVE DISTILLATION REMOVAL OF BENZENE AND TOLUENE FROM C5-C7 REFORMATE
250,BENZENE REFORMATE,BENZENE REMOVAL VIA HYDROISOMERIZATION OF C6-C7 REFORMATE
253,BENZOIC ACID,BENZOIC ACID BY LIQUID PHASE OXIDATION OF TOLUENE
255,BETA-SILICON CARBIDE,BETA-SILICON CARBIDE STRUCTURAL CERAMIC BY A CONTINUOUS CARBOTHERMIC PROCESS
257,BIODIESEL,BIODIESEL BY AXENS HETEROGENEOUS CATALYSIS PROCESS
258,BIODIESEL,BIODIESEL BY ESTERFIP-H PROCESS
259,BIODIESEL,BIODIESEL BY ESTERFIP-H PROCESS CRUDE GLYCERIN CASE
260,BIODIESEL,BIODIESEL FROM ALGAE USING HETEROTROPHIC ALGAE PROCESS (FERMENTATION)
261,BIODIESEL,BIODIESEL FROM ALGAE USING PHOTOBIOREACTOR (PBR) TECHNOLOGY
262,BIODIESEL,BIODIESEL FROM ECOFINING™ PROCESS BY UOP/ENI
263,BIODIESEL,BIODIESEL FROM HYDROFLEX PROCESS HALDOR TOPSOE
264,BIODIESEL,BIODIESEL FROM REFINED VEGETABLE OIL VIA ALKALINE CATALYSIS
265,BIODIESEL,BIODIESEL FROM NEXBTL™ PROCESS BY NESTE
266,BIODIESEL,BIODIESEL FROM REFINED VEGETABLE OIL VIA ALKALINE CATALYSIS W/ CRUDE GLYCERIN RECOVERY
267,BIODIESEL,BIODIESEL FROM REFINED VEGETABLE OIL VIA CD PROCESS
268,BIODIESEL,BIODIESEL FROM VEGAN PROCESS BY AXENS
269,BIODIESEL,MICROALGAL BIODIESEL FROM OPEN RACEWAY PONDS & ALKALINE CATALYSIS
270,BIODIESEL,RENEWABLE DIESEL FROM REFINED VEGETABLE OIL W/ MERCHANT HYDROGEN
271,BIODIESEL,RENEWABLE DIESEL FROM REFINED VEGETABLE OIL W/HYDROGEN PRODUCTION
272,BIODIESEL,BIODIESEL FROM REFINED VEGETABLE OIL VIA ALKALINE CATALYSIS (LARGE SCALE)
273,BIODIESEL,BIODIESEL VIA HETEROGENEOUS CATALYSIS CATILIN PROCESS
274,BIOSYNFUEL,BIOMASS TO LIQUIDS (BTL) VIA CHOREN GASIFICATION/SHELL FT PROCESS
275,BIS(2-HYDROXYETHYL) TEREPHTHALATE,BHET FROM CHEMICAL RECYCLING OF PET BY GLYCOLYSIS USING AN IONIC LIQUID CATALYST COMPLEX
276,BISPHENOL A,BISPHENOL A FROM PHENOL AND ACETONE (ION EXHANGE RESIN)
277,BISPHENOL A,BISPHENOL A FROM PHENOL FROM INTEGRATED BADGER PROCESS VIA KBR PROCESS
278,BISPHENOL A,BISPHENOL A USING CATION EXCHANGE RESINS BY BADGER PROCESS
279,BISPHENOL A,BISPHENOL A USING CATION EXCHANGE RESINS BY DOW PROCESS
280,BISPHENOL A,BISPHENOL A USING CATION EXCHANGE RESINS BY SABIC PROCESS
281,BISPHENOL A,BISPHENOL FROM PHENOL FROM BADGER PROCESS VIA KBR PROCESS
282,BISPHENOL A CARBONATE OLIGOMER,BISPHENOL A CARBONATE CYCLIC OLIGOMER BY INTERFACIAL PROCESS
284,"BISPHENOL A, PC GRADE","BISPHENOL A, PC GRADE BY SINOPEC-LUMMUS TECHNOLOGY"
285,"BISPHENOL A, PC GRADE","BISPHENOL A, PC GRADE FROM ACETONE AND PHENOL BY AN ION-EXCHANGE CATALYZED PROCESS"
287,BOILER FEEDWATER,"BOILER FEEDWATER, 1,500-PSIG BOILER, DEMINERALIZING & POLISHING PROCESS"
288,BOILER FEEDWATER,"BOILER FEEDWATER, 150-PSIG BOILER, ZEOLITE SOFTENING PROCESS"
289,BOILER FEEDWATER,"BOILER FEEDWATER, 600-PSIG BOILER, HOT LIME/SODA PROCESS"
293,BROMOBUTYL RUBBER,BROMOBUTYL RUBBER PRODUCTION USING EXXONMOBIL TECHNOLOGY
295,BTX,BTX PRODUCTION FROM LPG
