,ihs_match,PRODUCT,ROUTE,TECHNOLOGY,LICENSOR
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,DUPONT
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,KVAERNER PROCESS TECH
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,SINO
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,HYDRATION,n.a.
14,"1,4-BUTANEDIOL FROM MALEIC ANHYDRIDE (DIMETHYL MALEATE INTERMEDIATE)","1,4-BUTANEDIOL",MALEIC ANHYDRIDE,n.a.,n.a.
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE,PROPYLENE ACETOXYLATION,KURRARAY
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,VIA ALLYL ALCOHOL,KURRARAY
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,VIA ALLYL ALCOHOL,n.a.
15,"1,4-BUTANEDIOL FROM PROPYLENE OXIDE (ALLYL ALCOHOL INTERMEDIATE)","1,4-BUTANEDIOL",PROPYLENE OXIDE,n.a.,n.a.
35,2-ETHYLHEXANOL BY HYDROFORMYLATION FOLLOWED BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
36,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT HYDROCARBONYL CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
37,"2-ETHYLHEXANOL FROM PROPYLENE, COBALT PHOSPHINE CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
33,"2-ETHYLHEXANOL FROM PROPYLENE, RHODIUM CATALYST",2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,ACETALDEHYDE,ALDOLIZATION/CROTONIZATIO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,BASF
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,BASF
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,EASTMAN CHEMICAL
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,EASTMAN CHEMICAL
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,HOECHST
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,HOECHST
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,MITSUBISHI
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,MITSUBISHI
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,SHELL
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,SHELL
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,UN. CARBIDE/DAVY MCKEE/J.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,UN. CARBIDE/DAVY MCKEE/J.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,OXO,n.a.
34,2-ETHYLHEXANOL FROM N-BUTYRALDEHYDE BY ALDOL CONDENSATION AND HYDROGENATION,2-ETHYLHEXANOL,BUTYRALDEHYDE,n.a.,n.a.
38,PRODUCTION OF 2-ETHYLHEXANOL FROM BUTYRALDEHYDE,2-ETHYLHEXANOL,BUTYRALDEHYDE,n.a.,n.a.
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,DAQING PETROCHEMICAL
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,DOW
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,ENICHEM
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,MARK YANG ABS PROCESS
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,MITSUI TOATSU CHEMICAL
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,TORAY INDUSTRIES
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,CONTINUOS MASS,n.a.
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BASF
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BASF
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BASF
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BASF
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BAYER
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BAYER
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BAYER
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BAYER
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,BORG WARNER
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,BORG WARNER
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,BORG WARNER
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,CDF CHIMIE
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,ENICHEM
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,ENICHEM
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,ENICHEM
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,JAPAN SYNTHETIC RUBBER
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,KUMHO
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,KUMHO
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,KUMHO
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,KUMHO
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,SABIC
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,SABIC
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,SABIC
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,SABIC
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,UNIROYAL
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,UNIROYAL
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,UNIROYAL
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,EMULSION,n.a.
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,EMULSION,n.a.
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,EMULSION,n.a.
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,EMULSION,n.a.
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ARRAHONA
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,ASAHI/DOW
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,BASF
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,BASF
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,BASF
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,BORG WARNER
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
59,"ABS RESIN BY EMULSION POLYMERIZATION (CASE 3), INTEGRATED",ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
60,ABS RESIN BY EMULSION POLYMERIZATION (JSR),ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
61,ABS RESIN BY EMULSION/MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
62,ABS RESIN PRODUCTION,ABS,VIRGIN RESIN,POLYMERIZATION,CHEIL IND
57,ABS RESIN BY CONTINUOUS MASS POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHI MEI
58,ABS RESIN BY EMULSION POLYMERIZATION,ABS,VIRGIN RESIN,POLYMERIZATION,CHI MEI
